,Sample,Year,ID,Time_point,Soil_Type,Tillage,Int,BMc,Block,Root_Window,,DW
28,FSCTExtC4,21,FSCTExtC4..2021.trimmed,FSCTExtC4,FS,CT,Extensive,Ctrl,4,Normal-Sample,,
29,FSCTExtI1,21,FSCTExtI1..2021.trimmed,FSCTExtI1,FS,CT,Extensive,BMc,1,Normal-Sample,,
30,FSCTExtI2,21,FSCTExtI2..2021.trimmed,FSCTExtI2,FS,CT,Extensive,BMc,2,Normal-Sample,,
31,FSCTExtI3,21,FSCTExtI3..2021.trimmed,FSCTExtI3,FS,CT,Extensive,BMc,3,Normal-Sample,,
32,FSCTExtI4,21,FSCTExtI4..2021.trimmed,FSCTExtI4,FS,CT,Extensive,BMc,4,Normal-Sample,,
33,RHCTExtC1,21,RHCTExtC1..2021.trimmed,RHCTExtC1,RH,CT,Extensive,Ctrl,1,Normal-Sample,,355.6
34,RHCTExtC2,21,RHCTExtC2..2021.trimmed,RHCTExtC2,RH,CT,Extensive,Ctrl,2,Normal-Sample,,370.8
35,RHCTExtC3,21,RHCTExtC3..2021.trimmed,RHCTExtC3,RH,CT,Extensive,Ctrl,3,Normal-Sample,,366.0
36,RHCTExtC4,21,RHCTExtC4..2021.trimmed,RHCTExtC4,RH,CT,Extensive,Ctrl,4,Normal-Sample,,336.4
37,RHCTExtI1,21,RHCTExtI1..2021.trimmed,RHCTExtI1,RH,CT,Extensive,BMc,1,Normal-Sample,,344.4
38,RHCTExtI2,21,RHCTExtI2..2021.trimmed,RHCTExtI2,RH,CT,Extensive,BMc,2,Normal-Sample,,471.0
39,RHCTExtI3,21,RHCTExtI3..2021.trimmed,RHCTExtI3,RH,CT,Extensive,BMc,3,Normal-Sample,,387.9
40,RHCTExtI4,21,RHCTExtI4..2021.trimmed,RHCTExtI4,RH,CT,Extensive,BMc,4,Normal-Sample,,451.0
41,FSCTExtC1FS,22,FSCTExtC1FS1.2022.trimmed,FSCTExtC1FS,FS,CT,Extensive,Ctrl,NA,Normal-Sample,,
42,FSCTExtC2FS,22,FSCTExtC2FS2.2022.trimmed,FSCTExtC2FS,FS,CT,Extensive,Ctrl,NA,Normal-Sample,,
43,FSCTExtC3FS,22,FSCTExtC3FS3.2022.trimmed,FSCTExtC3FS,FS,CT,Extensive,Ctrl,NA,Normal-Sample,,
44,FSCTExtC4FS,22,FSCTExtC4FS4.2022.trimmed,FSCTExtC4FS,FS,CT,Extensive,Ctrl,NA,Normal-Sample,,
45,FSCTExtI1FS,22,FSCTExtI1FS1.2022.trimmed,FSCTExtI1FS,FS,CT,Extensive,BMc,NA,Normal-Sample,,
46,FSCTExtI2FS,22,FSCTExtI2FS2.2022.trimmed,FSCTExtI2FS,FS,CT,Extensive,BMc,NA,Normal-Sample,,
47,FSCTExtI3FS,22,FSCTExtI3FS3.2022.trimmed,FSCTExtI3FS,FS,CT,Extensive,BMc,NA,Normal-Sample,,
48,FSCTExtI4FS,22,FSCTExtI4FS4.2022.trimmed,FSCTExtI4FS,FS,CT,Extensive,BMc,NA,Normal-Sample,,
49,RHCTExtC1RH,22,RHCTExtC1RH1.2022.trimmed,RHCTExtC1RH,RH,CT,Extensive,Ctrl,NA,Normal-Sample,,131.2333333
50,RHCTExtC2RH,22,RHCTExtC2RH2.2022.trimmed,RHCTExtC2RH,RH,CT,Extensive,Ctrl,NA,Normal-Sample,,105.8
51,RHCTExtC3RH,22,RHCTExtC3RH3.2022.trimmed,RHCTExtC3RH,RH,CT,Extensive,Ctrl,NA,Normal-Sample,,90.56666667
52,RHCTExtC4RH,22,RHCTExtC4RH4.2022.trimmed,RHCTExtC4RH,RH,CT,Extensive,Ctrl,NA,Normal-Sample,,108.4333333
53,RHCTExtI1RH,22,RHCTExtI1RH1.2022.trimmed,RHCTExtI1RH,RH,CT,Extensive,BMc,NA,Normal-Sample,,88.73333333
54,RHCTExtI2RH,22,RHCTExtI2RH2.2022.trimmed,RHCTExtI2RH,RH,CT,Extensive,BMc,NA,Normal-Sample,,119.9666667
55,RHCTExtI3RH,22,RHCTExtI3RH3.2022.trimmed,RHCTExtI3RH,RH,CT,Extensive,BMc,NA,Normal-Sample,,99.23333333
56,RHCTExtI4RH,22,RHCTExtI4RH4.2022.trimmed,RHCTExtI4RH,RH,CT,Extensive,BMc,NA,Normal-Sample,,115.1666667
57,T0CTExt1FS,22,T0CTExt1FS1.2022.trimmed,T0CTExt1FS,T0,CT,Extensive,Ctrl,NA,Normal-Sample,,
58,T0CTExt2FS,22,T0CTExt2FS2.2022.trimmed,T0CTExt2FS,T0,CT,Extensive,Ctrl,NA,Normal-Sample,,
59,T0CTExt3FS,22,T0CTExt3FS3.2022.trimmed,T0CTExt3FS,T0,CT,Extensive,Ctrl,NA,Normal-Sample,,
60,T0CTExt4FS,22,T0CTExt4FS4.2022.trimmed,T0CTExt4FS,T0,CT,Extensive,Ctrl,NA,Normal-Sample,,
